,Index,Label,X,Y,Z,User
378264,378264.000000,0,-0.797000,1.820000,0.680000,P1
378265,378265.000000,0,-0.527000,1.348000,0.320000,P1
378266,378266.000000,0,-0.309000,1.164000,0.137000,P1
378267,378267.000000,0,-0.125000,1.199000,0.223000,P1
378268,378268.000000,0,-0.035000,1.207000,0.391000,P1
378269,378269.000000,0,-0.160000,1.066000,0.410000,P1
378270,378270.000000,0,-0.191000,0.883000,0.246000,P1
379941,379941.000000,0,0.984000,1.684000,0.512000,P1
379942,379942.000000,0,0.828000,1.555000,0.516000,P1
379943,379943.000000,0,0.836000,1.566000,0.395000,P1
379944,379944.000000,0,1.070000,1.750000,0.051000,P1
379945,379945.000000,0,1.328000,1.922000,-0.309000,P1
379946,379946.000000,0,1.641000,2.145000,-0.523000,P1
379947,379947.000000,0,2.105000,2.520000,-0.656000,P1
379948,379948.000000,0,2.699000,2.938000,-0.836000,P1
379949,379949.000000,0,3.109000,3.137000,-1.109000,P1
379950,379950.000000,0,3.164000,3.113000,-1.234000,P1
379951,379951.000000,0,3.059000,3.086000,-1.074000,P1
379952,379952.000000,0,2.801000,3.316000,-1.215000,P1
379953,379953.000000,0,2.430000,3.645000,-1.832000,P1
379954,379954.000000,0,2.180000,3.871000,-2.449000,P1
379955,379955.000000,0,2.605000,3.785000,-2.898000,P1
379956,379956.000000,0,3.402000,3.809000,-3.168000,P1
379957,379957.000000,0,3.723000,4.344000,-3.227000,P1
379958,379958.000000,0,3.422000,5.297000,-3.215000,P1
379959,379959.000000,0,2.918000,6.344000,-3.156000,P1
379960,379960.000000,0,2.648000,7.223000,-3.063000,P1
379961,379961.000000,0,2.621000,7.590000,-2.879000,P1
379962,379962.000000,0,1.914000,5.293000,-2.078000,P1
379963,379963.000000,0,0.941000,3.578000,-1.641000,P1
379964,379964.000000,0,-0.176000,3.789000,-1.730000,P1
379965,379965.000000,0,-0.418000,2.418000,-1.082000,P1
379966,379966.000000,0,-1.672000,0.750000,-1.113000,P1
379967,379967.000000,0,-3.602000,-0.395000,0.023000,P1
379968,379968.000000,0,-2.371000,2.402000,1.902000,P1
379969,379969.000000,0,-0.914000,2.305000,1.719000,P1
379970,379970.000000,0,-4.324000,2.152000,-0.105000,P1
379971,379971.000000,0,-5.668000,3.109000,0.156000,P1
379972,379972.000000,0,-3.402000,2.219000,0.563000,P1
379973,379973.000000,0,-2.094000,1.688000,0.879000,P1
379974,379974.000000,0,-4.098000,2.277000,3.508000,P1
379975,379975.000000,0,-4.445000,0.977000,5.719000,P1
379976,379976.000000,0,-3.031000,1.488000,5.418000,P1
379977,379977.000000,0,-3.289000,4.863000,1.805000,P1
379978,379978.000000,0,0.313000,3.660000,0.500000,P1
379979,379979.000000,0,1.387000,0.941000,0.723000,P1
379980,379980.000000,0,2.859000,-1.344000,1.137000,P1
379981,379981.000000,0,1.441000,-0.645000,-0.148000,P1
379982,379982.000000,0,-0.871000,1.219000,0.223000,P1
379983,379983.000000,0,-2.016000,1.844000,0.844000,P1
379984,379984.000000,0,-1.285000,1.258000,0.504000,P1
379985,379985.000000,0,-0.438000,0.898000,0.004000,P1
379986,379986.000000,0,-0.344000,0.949000,0.129000,P1
379987,379987.000000,0,-0.340000,1.008000,0.242000,P1
379988,379988.000000,0,-0.184000,0.926000,0.102000,P1
379989,379989.000000,0,-0.117000,0.797000,-0.066000,P1
379990,379990.000000,0,-0.141000,0.805000,0.020000,P1
382086,382086.000000,0,-1.297000,2.242000,-0.016000,P1
382087,382087.000000,0,-0.992000,2.422000,-0.402000,P1
382088,382088.000000,0,-0.535000,2.191000,-0.277000,P1
382089,382089.000000,0,0.148000,2.273000,0.035000,P1
382090,382090.000000,0,1.012000,2.230000,0.020000,P1
382091,382091.000000,0,1.484000,2.031000,0.016000,P1
382092,382092.000000,0,1.844000,1.785000,-0.039000,P1
382093,382093.000000,0,2.316000,1.609000,-0.176000,P1
382094,382094.000000,0,2.758000,1.691000,-0.410000,P1
382095,382095.000000,0,2.930000,2.148000,-0.750000,P1
382096,382096.000000,0,2.926000,2.832000,-1.090000,P1
382097,382097.000000,0,2.637000,3.418000,-1.176000,P1
382098,382098.000000,0,2.191000,3.816000,-1.090000,P1
382099,382099.000000,0,1.582000,4.141000,-1.199000,P1
382100,382100.000000,0,1.043000,4.383000,-1.621000,P1
382101,382101.000000,0,1.031000,4.102000,-2.176000,P1
382102,382102.000000,0,1.742000,3.617000,-2.750000,P1
