x_mean,y_mean,z_mean,x_Var,y_Var,z_Var,x_sd,y_sd,z_sd,mean_mag,mag_mean,cov_xy,cov_yz,cov_zx,avg_power,power_spec,Label,User
0.331600,1.630550,0.071900,2.369361,0.395508,2.177924,1.539273,0.628895,1.475779,1.665479,2.270479,0.298093,-0.690688,-1.712056,47.217034,47.217034,1,1
0.167450,1.535950,-0.566050,3.004284,0.780549,1.975137,1.733287,0.883487,1.405396,1.645477,2.351972,0.070171,-0.572435,-1.347249,57.642179,57.642179,1,1
-0.162050,3.065400,-2.082650,0.847773,4.164210,2.585524,0.920746,2.040640,1.607956,3.709497,3.917628,0.091648,-2.982837,-0.187410,16.632893,16.632893,1,1
-1.089150,4.934900,-2.091100,1.609240,1.491054,4.135417,1.268558,1.221087,2.033573,5.469203,5.928518,0.098353,-0.563182,-1.457251,54.300519,54.300519,1,1
-2.332400,3.792450,2.144300,0.611360,4.436183,10.475938,0.781895,2.106225,3.236655,4.941739,6.044451,-0.276379,-3.580191,-0.570665,120.417644,120.417644,1,1
-1.601600,1.754000,3.245150,1.367531,2.569610,3.689284,1.169415,1.603000,1.920751,4.021522,4.133071,-1.342939,1.906248,-1.990317,77.285534,77.285534,1,1
-0.356000,1.110600,1.002950,0.153089,0.085658,0.458813,0.391266,0.292674,0.677357,1.538206,1.679488,0.077029,-0.116058,-0.250796,5.443416,5.443416,1,1
0.320700,1.507050,-0.147850,0.689806,0.137340,1.257037,0.830546,0.370594,1.121177,1.547872,1.892921,0.134848,-0.354528,-0.687350,15.163288,15.163288,1,1
0.260400,1.650300,-0.482750,0.925808,0.427799,1.020881,0.962189,0.654064,1.010387,1.739065,2.083213,0.041188,-0.106447,-0.520100,18.946520,18.946520,1,1
-0.428400,2.801200,-1.190100,0.817424,2.505210,1.847608,0.904115,1.582786,1.359267,3.073530,3.313306,0.198600,-1.792529,-0.218903,19.201590,19.201590,1,1
-1.308250,4.551250,-2.377300,1.297499,1.634367,1.396836,1.139078,1.278423,1.181878,5.298769,5.507874,-0.046026,-0.820032,-0.832037,58.882833,58.882833,1,1
-2.018150,4.472850,0.277700,1.269784,2.573906,13.365169,1.126847,1.604340,3.655840,4.914920,6.222810,0.185850,-2.922965,-1.336046,105.584475,105.584475,1,1
-1.537050,2.650150,2.951650,1.308164,3.170195,4.762724,1.143750,1.780504,2.182367,4.254181,4.780152,-0.419454,-0.497547,-0.871483,72.105573,72.105573,1,1
-0.635550,1.477100,1.825500,0.169436,0.180309,1.535489,0.411626,0.424628,1.239149,2.432735,2.543980,-0.061619,0.237567,-0.468018,11.297763,11.297763,1,1
-0.170200,1.611300,0.158950,2.221495,0.451911,2.481139,1.490468,0.672243,1.575163,1.628042,2.366801,0.069291,-0.756249,-1.327877,42.787770,42.787770,1,1
-0.146350,1.548200,-0.449300,3.022229,0.714420,2.029383,1.738456,0.845234,1.424564,1.618707,2.409531,-0.061108,-0.576782,-1.312288,57.850721,57.850721,1,1
-0.544750,2.638250,-1.242650,1.291873,2.858200,1.656930,1.136606,1.690621,1.287218,2.966698,3.288113,0.036256,-1.907335,-0.328385,30.480635,30.480635,1,1
-1.427150,4.564650,-2.328950,1.243556,1.910023,1.291501,1.115148,1.382036,1.136442,5.319473,5.497850,-0.198884,-0.980385,-0.707182,64.362699,64.362699,1,1
-1.835450,4.457050,0.774950,2.030459,2.379086,17.539094,1.424942,1.542429,4.187970,4.882081,6.436341,-0.603382,-3.151181,-0.869903,105.956253,105.956253,1,1
-1.172100,2.634550,3.461900,1.941886,2.508413,6.910445,1.393516,1.583797,2.628773,4.505488,4.967684,-0.788924,0.552590,-1.917033,64.372206,64.372206,1,1
-0.362500,1.478900,1.758200,0.343587,0.131165,2.239993,0.586163,0.362167,1.496661,2.325902,2.461527,-0.163207,0.433474,-0.822934,9.156276,9.156276,1,1
0.457300,1.514100,0.085050,1.937904,0.128352,1.123857,1.392086,0.358263,1.060121,1.583937,2.010614,0.281613,-0.337169,-1.113644,41.002644,41.002644,1,1
0.355550,1.532800,-0.450300,2.237910,0.418437,1.023852,1.495965,0.646867,1.011856,1.636662,2.121211,0.233769,-0.208714,-0.943305,45.048605,45.048605,1,1
0.160750,2.301300,-1.348350,0.580974,1.281095,1.296095,0.762216,1.131855,1.138462,2.672054,2.905109,0.278087,-0.914458,-0.480516,11.555311,11.555311,2,1
-0.169350,4.506800,-0.429700,1.057558,3.674242,6.611219,1.028376,1.916831,2.571229,4.530405,5.258795,-1.506152,4.082388,-1.523382,20.667185,20.667185,2,1
-0.201800,3.663800,2.466900,1.620725,6.982889,4.324275,1.273077,2.642516,2.079489,4.421510,5.267203,-1.680691,-0.587200,1.000984,31.608238,31.608238,2,1
0.435750,0.994450,2.487950,0.916232,0.641190,1.494636,0.957200,0.800743,1.222553,2.714536,2.847352,0.361664,0.728688,0.526992,21.205971,21.205971,2,1
0.159650,0.688350,1.044950,0.152355,0.047007,0.302808,0.390327,0.216811,0.550280,1.261441,1.375142,-0.060635,-0.095811,0.183786,3.404509,3.404509,2,1
0.133450,1.175250,0.436700,0.761880,0.614411,0.599534,0.872857,0.783844,0.774296,1.260844,1.582622,0.280660,-0.340956,0.048855,14.831897,14.831897,2,1
-0.036900,1.191950,0.353300,1.089872,0.805037,0.606885,1.043969,0.897239,0.779029,1.243755,1.735797,0.294143,-0.266599,0.069292,20.734798,20.734798,2,1
-0.667300,1.478150,0.411700,0.652223,0.902315,0.217332,0.807603,0.949902,0.466188,1.673234,1.925617,-0.182771,-0.017343,-0.164028,21.298016,21.298016,2,1
-0.114200,2.547850,-1.012950,1.256670,0.818615,2.637148,1.121013,0.904773,1.623930,2.744203,3.262906,0.281770,-0.868606,-1.413015,24.137556,24.137556,2,1
-0.323850,4.276350,-1.149550,1.343707,3.283661,4.850211,1.159184,1.812088,2.202319,4.439990,5.102129,-1.304203,3.505285,-1.168999,27.628009,27.628009,2,1
-0.607250,3.672850,1.982550,1.421708,5.612112,7.186546,1.192354,2.368990,2.680773,4.217711,5.356875,-0.615914,-1.604183,1.769774,34.387497,34.387497,2,1
0.100550,1.559500,2.656500,0.875394,0.677036,2.488896,0.935625,0.822822,1.577623,3.082068,3.287802,0.631868,0.433409,0.050954,16.834701,16.834701,2,1
0.422100,1.024350,0.959350,0.203364,0.134641,0.767616,0.450959,0.366934,0.876137,1.465542,1.695373,-0.134410,0.100968,-0.261614,7.427290,7.427290,2,1
0.523050,1.303150,0.601850,0.580877,1.823494,1.216750,0.762153,1.350368,1.103064,1.527745,2.017722,0.506894,0.346790,0.275951,16.508291,16.508291,2,1
-0.158750,1.462650,0.553700,0.741251,1.620204,0.977599,0.860959,1.272872,0.988736,1.571983,1.978420,0.828984,0.415910,0.389663,14.587795,14.587795,2,1
-0.308100,1.839950,-0.564950,0.284921,0.983258,1.764678,0.533780,0.991594,1.328412,1.949233,2.259321,0.360835,-1.301517,-0.498681,7.312008,7.312008,2,1
-0.471050,4.143000,-0.133350,1.020958,5.321971,4.746619,1.010425,2.306940,2.178674,4.171824,4.805683,-1.179899,1.934953,-0.615164,23.835961,23.835961,2,1
-0.286750,3.652300,2.693650,2.227851,7.504461,4.790476,1.492599,2.739427,2.188716,4.547227,5.582902,-1.256031,-2.557430,1.572678,43.973679,43.973679,2,1
0.309150,1.441100,2.645800,1.171340,0.770193,3.087515,1.082285,0.877606,1.757133,3.028630,3.251352,0.706196,0.632040,0.397845,24.166933,24.166933,2,1
0.641800,1.650100,1.045700,1.165076,1.331327,1.738908,1.079387,1.153831,1.318677,2.056265,2.442146,-0.033796,0.673035,-1.197958,30.374596,30.374596,2,1
0.385000,1.396800,0.620700,1.527903,1.881325,1.788215,1.236084,1.371614,1.337242,1.576244,2.147039,0.165086,0.891154,-0.888875,31.994656,31.994656,2,1
-0.258750,1.492550,-0.026050,0.221904,1.152850,0.434072,0.471066,1.073709,0.658842,1.515037,1.786998,-0.034807,-0.412540,-0.097482,5.555199,5.555199,2,1
-0.095950,2.955900,-1.644800,0.372329,1.024030,2.215393,0.610188,1.011944,1.488420,3.384068,3.612243,0.067082,-1.192484,-0.394843,7.258377,7.258377,2,1
-0.277950,4.360200,-0.097200,1.783969,4.062922,11.545490,1.335653,2.015669,3.397866,4.370131,5.730029,-0.772877,0.944892,-0.106446,35.440541,35.440541,2,1
-0.486850,3.467550,3.369600,1.885713,6.093666,3.961318,1.373213,2.468535,1.990306,4.859540,5.606313,-0.630123,-2.057885,0.875573,40.569011,40.569011,2,1
0.186500,1.414250,2.523500,0.744751,0.457895,2.983770,0.862990,0.676680,1.727359,2.898782,3.090067,-0.280090,0.815953,-1.012045,14.845922,14.845922,2,1
0.679400,1.120300,0.663500,0.835486,0.680219,1.169970,0.914049,0.824754,1.081651,1.468635,1.983166,-0.433417,-0.512234,0.591623,25.105920,25.105920,2,1
0.007750,1.069050,0.323800,1.898656,0.874705,1.038858,1.377917,0.935256,1.019244,1.117038,1.985183,-0.254298,-0.460162,0.463680,36.075673,36.075673,2,1
-0.299950,1.381950,-0.084800,0.890367,0.810158,0.597135,0.943592,0.900088,0.772745,1.416668,1.914014,0.300095,-0.441507,-0.413845,18.716365,18.716365,2,1
-0.017100,2.792950,-1.528750,0.350433,1.267618,1.350342,0.591974,1.125886,1.162042,3.184013,3.350617,-0.116086,-0.958080,-0.178132,6.664078,6.664078,2,1
-0.102650,4.207850,-0.438850,1.617963,4.474740,6.173433,1.271992,2.115358,2.484639,4.231918,5.180054,-0.800977,0.429858,0.513287,30.952029,30.952029,2,1
0.324750,3.266350,2.533050,2.579337,6.344928,3.529554,1.606032,2.518914,1.878711,4.146185,5.014392,-1.441214,-2.245814,1.341957,51.116661,51.116661,2,1
0.653050,1.448700,2.120400,0.985323,0.238337,2.871859,0.992634,0.488197,1.694656,2.649774,2.828841,-0.075898,0.549942,0.439161,27.250623,27.250623,2,1
0.788800,1.228150,0.293100,0.963781,0.266233,1.103522,0.981724,0.515977,1.050486,1.488780,1.765441,0.467182,-0.435227,-0.874897,30.755952,30.755952,2,1
0.331800,1.339500,0.313550,1.701345,0.724012,1.547228,1.304356,0.850889,1.243876,1.415156,1.922370,0.182634,0.003508,-1.377339,34.527374,34.527374,2,1
-0.376500,1.934550,0.451600,0.774412,1.325536,0.936827,0.880007,1.151319,0.967898,2.021924,2.295212,-0.177039,0.061442,-0.580106,17.548868,17.548868,2,1
